ticker,name,sector,type,market_value,weight,notional_value,shares,price,location,exchange,currency
"6707","SANKEN ELECTRIC LTD","Information Technology","Equity","4,753,097.27","0.16","4,753,097.27","111,689.00","42.56","Japan","Tokyo Stock Exchange","JPY"
"KARN","KARDEX HOLDING AG","Industrials","Equity","4,533,118.19","0.15","4,533,118.19","25,728.00","176.19","Switzerland","SIX Swiss Exchange","CHF"
"ZUO","ZUORA INC CLASS A","Information Technology","Equity","4,519,797.38","0.15","4,519,797.38","432,103.00","10.46","United States","New York Stock Exchange Inc.","USD"
"KOMN","KOMAX HOLDING AG","Industrials","Equity","4,480,952.56","0.15","4,480,952.56","17,049.00","262.83","Switzerland","SIX Swiss Exchange","CHF"
"ACP","ASSECO POLAND SA","Information Technology","Equity","4,427,326.83","0.14","4,427,326.83","248,355.00","17.83","Poland","Warsaw Stock Exchange/Equities/Main Market","PLN"
"DOMO","DOMO INC CLASS B","Information Technology","Equity","3,840,651.45","0.13","3,840,651.45","112,005.00","34.29","United States","NASDAQ","USD"
"CEVA","CEVA INC","Information Technology","Equity","3,771,604.14","0.12","3,771,604.14","101,551.00","37.14","United States","NASDAQ","USD"
"CMCO","COLUMBUS MCKINNON CORP","Industrials","Equity","3,625,181.56","0.12","3,625,181.56","107,668.00","33.67","United States","NASDAQ","USD"
"MTRN","MAYTRONICS LTD","Consumer Discretionary","Equity","3,614,626.74","0.12","3,614,626.74","211,112.00","17.12","Israel","Tel Aviv Stock Exchange","ILS"
"SUMO","SUMO LOGIC INC","Information Technology","Equity","3,047,162.88","0.10","3,047,162.88","358,912.00","8.49","United States","NASDAQ","USD"
"6202","HOLTEK SEMICONDUCTOR INC","Information Technology","Equity","3,024,700.11","0.10","3,024,700.11","902,000.00","3.35","Taiwan","Taiwan Stock Exchange","TWD"
"6104","SHIBAURA MACHINE LTD","Industrials","Equity","2,502,964.80","0.08","2,502,964.80","104,840.00","23.87","Japan","Tokyo Stock Exchange","JPY"
"3019","ASIA OPTICAL INC","Information Technology","Equity","2,489,312.98","0.08","2,489,312.98","1,087,000.00","2.29","Taiwan","Taiwan Stock Exchange","TWD"
"FARO","FARO TECHNOLOGIES INC","Information Technology","Equity","2,479,807.99","0.08","2,479,807.99","76,703.00","32.33","United States","NASDAQ","USD"
"YEXT","YEXT INC","Information Technology","Equity","2,457,238.96","0.08","2,457,238.96","475,288.00","5.17","United States","New York Stock Exchange Inc.","USD"
"6875","MEGACHIPS CORP","Information Technology","Equity","2,444,259.59","0.08","2,444,259.59","87,900.00","27.81","Japan","Tokyo Stock Exchange","JPY"
"6222","SHIMA SEIKI MFG LTD","Industrials","Equity","2,111,414.86","0.07","2,111,414.86","135,494.00","15.58","Japan","Tokyo Stock Exchange","JPY"
"PENTA","PENTAMASTER CORPORATION","Industrials","Equity","2,025,461.75","0.07","2,025,461.75","2,390,700.00","0.85","Malaysia","Bursa Malaysia","MYR"
"6516","SANYO DENKI LTD","Industrials","Equity","1,780,176.99","0.06","1,780,176.99","42,300.00","42.08","Japan","Tokyo Stock Exchange","JPY"
"5471","SONIX TECHNOLOGY LTD","Information Technology","Equity","1,777,487.73","0.06","1,777,487.73","702,000.00","2.53","Taiwan","Taiwan Stock Exchange","TWD"
"HY","HYSTER YALE MATERIALS HANDLING INC","Industrials","Equity","1,748,223.00","0.06","1,748,223.00","45,765.00","38.20","United States","New York Stock Exchange Inc.","USD"
"2388","VIA TECHNOLOGIES INC","Information Technology","Equity","1,701,199.56","0.06","1,701,199.56","975,000.00","1.74","Taiwan","Taiwan Stock Exchange","TWD"
"086390","UNITEST INC","Information Technology","Equity","1,498,421.01","0.05","1,498,421.01","71,847.00","20.86","Korea (South)","Korea Exchange (Kosdaq)","KRW"
"6706","FITTECH LTD","Information Technology","Equity","1,444,281.62","0.05","1,444,281.62","277,000.00","5.21","Taiwan","Taiwan Stock Exchange","TWD"
"EUR","EUR CASH","Cash and/or Derivatives","Cash","1,441,482.18","0.05","1,441,482.18","1,345,922.00","107.10","European Union","-","EUR"
"6258","HIRATA CORP","Industrials","Equity","1,414,812.19","0.05","1,414,812.19","44,300.00","31.94","Japan","Tokyo Stock Exchange","JPY"
"140860","PARKSYSTEMS CORP","Information Technology","Equity","1,412,768.00","0.05","1,412,768.00","15,946.00","88.60","Korea (South)","Korea Exchange (Kosdaq)","KRW"
"GBP","GBP CASH","Cash and/or Derivatives","Cash","1,060,134.21","0.03","1,060,134.21","840,409.00","126.14","United Kingdom","-","GBP"
"6877","OBARA GROUP INC","Industrials","Equity","1,051,171.12","0.03","1,051,171.12","46,143.00","22.78","Japan","Tokyo Stock Exchange","JPY"
"4776","CYBOZU INC","Information Technology","Equity","933,392.33","0.03","933,392.33","121,700.00","7.67","Japan","Tokyo Stock Exchange","JPY"
"TWD","TWD CASH","Cash and/or Derivatives","Cash","901,375.80","0.03","901,375.80","26,449,972.00","3.41","Taiwan","-","TWD"
"7717","V TECHNOLOGY LTD","Information Technology","Equity","815,844.25","0.03","815,844.25","36,700.00","22.23","Japan","Tokyo Stock Exchange","JPY"
"LOGO.E","LOGO YAZILIM","Information Technology","Equity","654,224.67","0.02","654,224.67","266,367.00","2.46","Turkey","Istanbul Stock Exchange","TRY"
"KRW","KRW CASH","Cash and/or Derivatives","Cash","396,216.34","0.01","396,216.34","497,746,781.00","0.08","Korea (South)","-","KRW"
"SEK","SEK CASH","Cash and/or Derivatives","Cash","393,746.67","0.01","393,746.67","3,878,188.00","10.15","Sweden","-","SEK"
"HSBFT","CASH COLLATERAL USD HSBFT","Cash and/or Derivatives","Cash Collateral and Margins","388,000.00","0.01","388,000.00","388,000.00","100.00","United States","-","USD"
"CAD","CAD CASH","Cash and/or Derivatives","Cash","302,381.57","0.01","302,381.57","385,824.00","78.37","Canada","-","CAD"
"HKD","HKD CASH","Cash and/or Derivatives","Cash","247,551.21","0.01","247,551.21","1,943,091.00","12.74","Hong Kong","-","HKD"
"CHF","CHF CASH","Cash and/or Derivatives","Cash","235,200.37","0.01","235,200.37","225,063.00","104.50","Switzerland","-","CHF"
"MARGIN_KRW","FUTURES KRW MARGIN BALANCE","Cash and/or Derivatives","Cash Collateral and Margins","174,094.29","0.01","174,094.29","218,705,950.00","0.08","Korea (South)","-","KRW"
"MYR","MYR CASH","Cash and/or Derivatives","Cash","106,637.63","0.00","106,637.63","466,966.00","22.84","Malaysia","-","MYR"
"BRL","BRL CASH","Cash and/or Derivatives","Cash","104,452.96","0.00","104,452.96","494,156.00","21.14","Brazil","-","BRL"
"ILS","ILS CASH","Cash and/or Derivatives","Cash","79,688.89","0.00","79,688.89","266,547.00","29.90","Israel","-","ILS"
"TRY","TRY CASH","Cash and/or Derivatives","Cash","71,916.12","0.00","71,916.12","1,168,295.00","6.16","Turkey","-","TRY"
"AUD","AUD CASH","Cash and/or Derivatives","Cash","70,840.50","0.00","70,840.50","99,071.00","71.51","Australia","-","AUD"
"PLN","PLN CASH","Cash and/or Derivatives","Cash","33,899.41","0.00","33,899.41","144,713.00","23.43","Poland","-","PLN"
"CZK","CZK CASH","Cash and/or Derivatives","Cash","10,903.69","0.00","10,903.69","251,452.00","4.34","Czech Republic","-","CZK"
"MXN","MXN CASH","Cash and/or Derivatives","Cash","10,561.54","0.00","10,561.54","206,869.00","5.11","Mexico","-","MXN"
"ZAR","ZAR CASH","Cash and/or Derivatives","Cash","10,033.98","0.00","10,033.98","156,191.00","6.42","South Africa","-","ZAR"
"HUF","HUF CASH","Cash and/or Derivatives","Cash","8,573.02","0.00","8,573.02","3,152,247.00","0.27","Hungary","-","HUF"
"NZD","NZD CASH","Cash and/or Derivatives","Cash","3,897.78","0.00","3,897.78","5,966.00","65.33","New Zealand","-","NZD"
"AED","AED CASH","Cash and/or Derivatives","Cash","3,839.69","0.00","3,839.69","14,103.00","27.23","United Arab Emirates","-","AED"
"DKK","DKK CASH","Cash and/or Derivatives","Cash","3,649.14","0.00","3,649.14","25,344.00","14.40","Denmark","-","DKK"
